code,system
2893,gprdproduct
57589,gprdproduct
5522,gprdproduct
9233,gprdproduct
11497,gprdproduct
2148,gprdproduct
2282,gprdproduct
4926,gprdproduct
34315,gprdproduct
4801,gprdproduct
35461,gprdproduct
13040,gprdproduct
33258,gprdproduct
454,gprdproduct
1952,gprdproduct
35374,gprdproduct
35986,gprdproduct
19401,gprdproduct
30649,gprdproduct
38,gprdproduct
14524,gprdproduct
42886,gprdproduct
48340,gprdproduct
35293,gprdproduct
56493,gprdproduct
35638,gprdproduct
2892,gprdproduct
34919,gprdproduct
53057,gprdproduct
17465,gprdproduct
48741,gprdproduct
35602,gprdproduct
3075,gprdproduct
33849,gprdproduct
909,gprdproduct
37470,gprdproduct
19376,gprdproduct
9164,gprdproduct
4842,gprdproduct
48519,gprdproduct
48547,gprdproduct
43074,gprdproduct
7724,gprdproduct
2125,gprdproduct
35299,gprdproduct
17670,gprdproduct
2600,gprdproduct
2978,gprdproduct
56499,gprdproduct
48709,gprdproduct
14321,gprdproduct
24898,gprdproduct
9477,gprdproduct
58269,gprdproduct
2160,gprdproduct
5885,gprdproduct
1259,gprdproduct
10218,gprdproduct
882,gprdproduct
56471,gprdproduct
1619,gprdproduct
7017,gprdproduct
35503,gprdproduct
5942,gprdproduct
1537,gprdproduct
7638,gprdproduct
44064,gprdproduct
35113,gprdproduct
13273,gprdproduct
4803,gprdproduct
36401,gprdproduct
10090,gprdproduct
27188,gprdproduct
10321,gprdproduct
13290,gprdproduct
1552,gprdproduct
42994,gprdproduct
15326,gprdproduct
50689,gprdproduct
11732,gprdproduct
1426,gprdproduct
16577,gprdproduct
9711,gprdproduct
6938,gprdproduct
35408,gprdproduct
26063,gprdproduct
8433,gprdproduct
13815,gprdproduct
1518,gprdproduct
49711,gprdproduct
19121,gprdproduct
15706,gprdproduct
38136,gprdproduct
42858,gprdproduct
4759,gprdproduct
42830,gprdproduct
5516,gprdproduct
19389,gprdproduct
36462,gprdproduct
5521,gprdproduct
2224,gprdproduct
18394,gprdproduct
35631,gprdproduct
16018,gprdproduct
8111,gprdproduct
2951,gprdproduct
35430,gprdproduct
49591,gprdproduct
1734,gprdproduct
41412,gprdproduct
5223,gprdproduct
10254,gprdproduct
38226,gprdproduct
4665,gprdproduct
12994,gprdproduct
35905,gprdproduct
6746,gprdproduct
3993,gprdproduct
719,gprdproduct
5580,gprdproduct
11618,gprdproduct
45610,gprdproduct
14590,gprdproduct
50036,gprdproduct
42928,gprdproduct
1412,gprdproduct
57525,gprdproduct
9921,gprdproduct
30118,gprdproduct
31774,gprdproduct
911,gprdproduct
35071,gprdproduct
35580,gprdproduct
5309,gprdproduct
30238,gprdproduct
25204,gprdproduct
16584,gprdproduct
2092,gprdproduct
2850,gprdproduct
17590,gprdproduct
35165,gprdproduct
9571,gprdproduct
6796,gprdproduct
7653,gprdproduct
56484,gprdproduct
32874,gprdproduct
1727,gprdproduct
3989,gprdproduct
4365,gprdproduct
20825,gprdproduct
959,gprdproduct
21482,gprdproduct
57579,gprdproduct
19031,gprdproduct
3570,gprdproduct
28640,gprdproduct
50557,gprdproduct
5558,gprdproduct
896,gprdproduct
5804,gprdproduct
59409,gprdproduct
14736,gprdproduct
3150,gprdproduct
47943,gprdproduct
16054,gprdproduct
21005,gprdproduct
48666,gprdproduct
3947,gprdproduct
40057,gprdproduct
42985,gprdproduct
5740,gprdproduct
14294,gprdproduct
37432,gprdproduct
50129,gprdproduct
18537,gprdproduct
37447,gprdproduct
35118,gprdproduct
35225,gprdproduct
4545,gprdproduct
13181,gprdproduct
15165,gprdproduct
29325,gprdproduct
56462,gprdproduct
23741,gprdproduct
38079,gprdproduct
13038,gprdproduct
7788,gprdproduct
16148,gprdproduct
16158,gprdproduct
39102,gprdproduct
1242,gprdproduct
49367,gprdproduct
2229,gprdproduct
56478,gprdproduct
8635,gprdproduct
43893,gprdproduct
4131,gprdproduct
34794,gprdproduct
5170,gprdproduct
51270,gprdproduct
18848,gprdproduct
16151,gprdproduct
3119,gprdproduct
56477,gprdproduct
36090,gprdproduct
34310,gprdproduct
43738,gprdproduct
1794,gprdproduct
57524,gprdproduct
1741,gprdproduct
7891,gprdproduct
27679,gprdproduct
49868,gprdproduct
35392,gprdproduct
910,gprdproduct
50503,gprdproduct
28073,gprdproduct
33817,gprdproduct
51815,gprdproduct
57249,gprdproduct
13037,gprdproduct
883,gprdproduct
35510,gprdproduct
3556,gprdproduct
5864,gprdproduct
12486,gprdproduct
38214,gprdproduct
57544,gprdproduct
28761,gprdproduct
6616,gprdproduct
56475,gprdproduct
2440,gprdproduct
34859,gprdproduct
2655,gprdproduct
7602,gprdproduct
35288,gprdproduct
3363,gprdproduct
16433,gprdproduct
2851,gprdproduct
4688,gprdproduct
35107,gprdproduct
1269,gprdproduct
34428,gprdproduct
1951,gprdproduct
11410,gprdproduct
5992,gprdproduct
14700,gprdproduct
7948,gprdproduct
5822,gprdproduct
36021,gprdproduct
4499,gprdproduct
3018,gprdproduct
1680,gprdproduct
1642,gprdproduct
17654,gprdproduct
35611,gprdproduct
1236,gprdproduct
51209,gprdproduct
50956,gprdproduct
35700,gprdproduct
17,gprdproduct
48490,gprdproduct
